id,descricao,unidade,quantidade,unitario,total
1,BOT. P16-BL2-G2 REDON PULSO 220V VD 2R,PC,0,17.70,0.00
2,BOT. P16-BL2-G2 RETAN PULSO 220V VD 2R,PC,0,15.33,0.00
3,BOT. P16-BL2-R1 RETAN PULSO 220V VM 1R,PC,0,16.47,0.00
4,BOT. P16-ER-R1 EMERGENCIA 1R,PC,0,17.70,0.00
5,BOT. P16-IL2-G1 RETAN C/RET 220V VD 1R,PC,0,16.46,0.00
6,BOT. P16-IL2-G2 RETAN C/RET 220V VD 2R,PC,0,17.08,0.00
7,BOT. P16-IL2-R1 RETAN C/RET 220V VM 1R,PC,0,0.00,0.00
8,BOT. P16-IL2-R2 RETAN C/RET 220V VM 2R,PC,0,12.42,0.00
9,BOT. P16-IS2-G2 QUAD C/RET 220V VD 2R,PC,0,17.93,0.00
10,BOT. P16-IS2-R2 QUAD C/RET 220V VM 2R,PC,0,17.93,0.00
11,"LF5,NF, 0-120",PC,0,28.20,0.00
12,ROBERTSHW,PC,0,0.00,0.00
13,1203,PC,0,0.00,0.00
14,"4 BEJAMIM ADAP1-21, 2P, BRANCO ou PRETO",PC,0,1.88,0.00
15,"ABRAÇADEIRA 100X2,5MM IMP",PC,0,0.02,0.00
16,"ABRAÇADEIRA 100X2,5MM T18R NATURAL",PC,3290,0.02,65.80
17,"ABRAÇADEIRA 100X2,5MM T18R PRETO",PC,3000,0.04,120.00
18,"ABRAÇADEIRA 150X2,5MM T30R uso",PC,0,0.02,0.00
19,"ABRAÇADEIRA 150X3,6MM NATURAL T30R",PC,3300,0.07,231.00
20,"ABRAÇADEIRA 150X3,6MM PRETO T30R",PC,500,0.07,35.00
21,"ABRAÇADEIRA 200X2,5MM NATURAL",PC,1000,0.02,20.00
22,"ABRAÇADEIRA 200X3,6MM NATURAL TR50R",PC,2600,0.10,260.00
23,"ABRAÇADEIRA 200X3,6MM PRETO T50R",PC,3000,0.11,330.00
24,"ABRAÇADEIRA 250X7,6MM NATURAL IMP",PC,423,0.26,109.98
25,"ABRAÇADEIRA 250X7,6MM PRETO",PC,500,0.29,145.00
26,"ABRAÇADEIRA 300X3,6MM NATURAL T80I",PC,600,0.14,84.00
27,"ABRAÇADEIRA 300X3,6MM PRETO T80I",PC,500,0.14,70.00
28,"ABRAÇADEIRA 370X3,6MM PRETO",PC,2000,0.20,400.00
29,ABRAÇADEIRA 550X12MM NATURAL T80I,PC,0,0.11,0.00
30,"Abraçadeira Velcro 210mm, azul",PC,0,1.78,0.00
31,ACIONAMENTO CD41+ PROLONGADOR P06,PC,0,142.46,0.00
32,ACOPLADOR FLEXIVEL ENCODER RLS 6MM,PC,0,20.10,0.00
33,ACOPLAMENTO 3P 32A A-3256 US0 1,PC,0,16.00,0.00
34,ACRILICO 1200X2100 ESP 3MM,PC,0,247.94,0.00
35,ACRILICO 50X25 ESP 3MM,PC,0,8.93,0.00
36,Adap 15DB M/15DB M,PC,0,1.21,0.00
37,ADAP 2P REDONDO NOVO/2P UNIVERSAL,PC,0,1.80,0.00
38,ADAP BNC F/RCA M,PC,0,0.79,0.00
39,ADAP BNC M/BNC F 50R,PC,0,0.95,0.00
40,ADAP BNC M/RCA F,PC,0,0.78,0.00
41,Adap DB 25 F/ DB 25 Femea,PC,0,1.94,0.00
42,Adap DB 25 M/ DB 25 M,PC,0,3.84,0.00
43,ADAP DIM 5 F/MINI DIM  5 M,PC,0,1.97,0.00
44,ADAP F Femea/ RCA Macho,PC,0,0.66,0.00
45,ADAP F M/RCA F,PC,0,0.66,0.00
46,ADAP FÊMEA UHF/ BNC,PC,0,1.13,0.00
47,Adap plug BNC/jack F,PC,0,1.02,0.00
48,ADAP RCA M/F M,PC,0,1.07,0.00
49,Adap.  Conversor DB 09 Femea x Mini Din Femea,PC,0,2.13,0.00
50,Adap.  Conversor RJ 45 Femea x DB 25 Macho,PC,0,1.61,0.00
51,Adap. 15DBFêmea+15DBFêmea,PC,0,1.32,0.00
52,ADAP. 2  RED. P/ 2 CHATO+ 1 RED.,PC,0,1.68,0.00
53,Adap. 9 DBM+9DBM,PC,0,1.07,0.00
54,Adap. 9DBF+9DB Fêmea,PC,0,1.07,0.00
55,Adap. 9DBM+25DB Fêmea,PC,0,1.63,0.00
